127.0.0.1 - - [27/May/2024:11:54:40 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/May/2024:11:54:42 +0530] "GET /Courier/Welcome.jsp HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/May/2024:11:54:42 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:00 +0530] "GET /Courier/Welcome.jsp HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:02 +0530] "GET /Courier/Welcome.jsp HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:04 +0530] "GET /Courier/Welcome.jsp HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:05 +0530] "GET /Courier/Welcome.jsp HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:05 +0530] "GET /Courier/Welcome.jsp HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:06 +0530] "GET /Courier/Welcome.jsp HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:07 +0530] "GET /Courier/Welcome.jsp HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:10 +0530] "GET /Courier/Track.jsp HTTP/1.1" 200 3608
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:14 +0530] "GET /Courier/Insert.jsp HTTP/1.1" 200 4280
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:16 +0530] "GET /Courier/Find.jsp HTTP/1.1" 200 3597
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:20 +0530] "POST /Courier/CmsController HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:20 +0530] "POST /Courier/CmsController HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:24 +0530] "POST /Courier/CmsController HTTP/1.1" 200 3816
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:26 +0530] "GET /Courier/Delete.jsp HTTP/1.1" 200 3564
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:27 +0530] "GET /Courier/Update.jsp HTTP/1.1" 200 4425
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:29 +0530] "GET /Courier/ViewAll.jsp HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:32 +0530] "GET /Courier/About.jsp HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [27/May/2024:11:55:32 +0530] "GET /Courier/About.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2024:11:56:15 +0530] "GET /Courier/Welcome.jsp HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/May/2024:11:56:58 +0530] "GET /Courier/About.jsp HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [27/May/2024:11:57:00 +0530] "GET /Courier/Welcome.jsp HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/May/2024:11:57:27 +0530] "GET /Courier/Track.jsp HTTP/1.1" 200 3608
0:0:0:0:0:0:0:1 - - [27/May/2024:11:57:29 +0530] "POST /Courier/CmsController HTTP/1.1" 500 1297
0:0:0:0:0:0:0:1 - - [27/May/2024:11:57:32 +0530] "POST /Courier/CmsController HTTP/1.1" 500 1297
0:0:0:0:0:0:0:1 - - [27/May/2024:11:57:36 +0530] "POST /Courier/CmsController HTTP/1.1" 500 1297
0:0:0:0:0:0:0:1 - - [27/May/2024:11:57:44 +0530] "GET /Courier/Insert.jsp HTTP/1.1" 200 4280
0:0:0:0:0:0:0:1 - - [27/May/2024:11:57:52 +0530] "GET /Courier/ViewAll.jsp HTTP/1.1" 200 1630
